R2_lm,R2_rf
0.123615972,0.219946403
0.124094909,0.220120948
0.124472363,0.220629734
0.125408766,0.220687659
0.125571832,0.221435507
0.128490412,0.221588323
0.128693808,0.221596365
0.129026496,0.22175202
0.129032714,0.221860399
0.131017885,0.222234314
0.132370724,0.222626063
0.133061611,0.222973176
0.133276913,0.224060611
0.133391374,0.224596159
0.136288187,0.225189552
0.136453553,0.225649666
0.137507103,0.225821018
0.137638424,0.226171045
0.138693574,0.226194614
0.1390498,0.227049667
0.139158403,0.230935121
0.140402325,0.232234234
0.140879314,0.233492165
0.142281814,0.234120474
0.145973187,0.234845433
0.146203289,0.235124862
0.146596102,0.235599341
0.147591596,0.23569327
0.148732154,0.238360189
0.149409645,0.238932278
0.150880331,0.239424191
0.151151619,0.240163025
0.151286165,0.240344939
0.151934398,0.240666577
0.153743604,0.240826971
0.153751449,0.241828714
0.153992436,0.243286045
0.15457467,0.243873665
0.155211083,0.244281541
0.15523388,0.24504544
0.155675921,0.245122204
0.157951581,0.245231975
0.158978017,0.246021922
0.159504934,0.246046243
0.159605802,0.246690057
0.161690701,0.246894051
0.163096577,0.247832122
0.163729935,0.247917498
0.163813465,0.248141927
0.166351903,0.248209286
0.166614125,0.248260117
0.166859737,0.248439201
0.167635946,0.24971155
0.167843465,0.249953356
0.170243376,0.250433998
0.171302133,0.251508615
0.171927089,0.252233996
0.172018528,0.252427323
0.173956286,0.253310519
0.175333695,0.25334746
0.175506316,0.253724168
0.176374685,0.254153994
0.176630297,0.255532763
0.17757574,0.258284049
0.177942552,0.258738572
0.178895549,0.258995377
0.179321454,0.259155332
0.180200953,0.260535828
0.181968577,0.261241778
0.182305241,0.261494227
0.182619362,0.262172015
0.185238974,0.263363381
0.187762288,0.264903934
0.189858812,0.26531656
0.190079327,0.265489759
0.191625487,0.266212404
0.195040607,0.267062442
0.195182193,0.26748119
0.195886997,0.267669553
0.196500991,0.268085126
0.197304521,0.26866169
0.197511944,0.271250065
0.198692868,0.271314989
0.198737105,0.271642437
0.199945669,0.272596633
0.200850443,0.272886857
0.201028831,0.2738791
0.20206104,0.274283897
0.202238967,0.274311416
0.202538906,0.275298505
0.203901348,0.276230662
0.203966985,0.276706771
0.204250671,0.277017924
0.206168212,0.279487033
0.206772015,0.279601534
0.207255233,0.280877731
0.207294204,0.282872285
0.208036519,0.283791103
0.208582003,0.283947025
0.209363511,0.285543227
0.209384081,0.28603492
0.211253463,0.286452648
0.211254207,0.287569385
0.211295401,0.289225518
0.211429297,0.289311718
0.212547321,0.290687499
0.213044862,0.291310541
0.214108392,0.291388155
0.21474707,0.293167114
0.214842965,0.293517291
0.215362697,0.294954605
0.216710401,0.295019733
0.218182284,0.295154897
0.218807333,0.298375503
0.21950727,0.300471591
0.221320181,0.301383673
0.22148287,0.302379393
0.221506785,0.302730887
0.221895144,0.303606244
0.221957424,0.304810541
0.226656266,0.305248397
0.227050287,0.305547199
0.228078767,0.305770055
0.228280606,0.306051614
0.23134639,0.306204004
0.232576608,0.306758104
0.233279355,0.306797276
0.233359786,0.307884456
0.234456353,0.308555149
0.234697216,0.309630192
0.234916692,0.309666597
0.235745661,0.310329215
0.236146036,0.310563198
0.236592683,0.310712631
0.236756545,0.31196096
0.239111846,0.31221433
0.239561963,0.31351464
0.240124054,0.314354721
0.240712589,0.314800545
0.241005542,0.314936704
0.241848928,0.317483182
0.243865233,0.319065001
0.244356155,0.319354317
0.245870397,0.319748772
0.247037131,0.320064542
0.247356834,0.320665537
0.248407439,0.321635866
0.249404303,0.321670059
0.249419612,0.322427049
0.250299928,0.322494665
0.251133343,0.323235283
0.251790387,0.323654618
0.252389749,0.324192092
0.25480662,0.324720488
0.255069308,0.325818528
0.256864635,0.325893018
0.256991672,0.326201743
0.257711831,0.326263398
0.258511724,0.326994514
0.259995228,0.328850227
0.260937343,0.329152752
0.262156135,0.329278098
0.263352141,0.330701632
0.263641606,0.332108918
0.265021107,0.33407451
0.266013264,0.334598173
0.266321467,0.335326995
0.26671364,0.337260695
0.268423518,0.338087363
0.268976618,0.340528942
0.272879497,0.340934738
0.27426092,0.346234259
0.275689293,0.349342866
0.276334953,0.35025688
0.276762213,0.352865348
0.277253635,0.354980586
0.279170986,0.356486717
0.281259405,0.357113245
0.281546483,0.357156567
0.283264054,0.357711568
0.284706372,0.358612181
0.286312663,0.360180818
0.287005653,0.361164268
0.287073126,0.361202376
0.287666025,0.362665666
0.288638904,0.363534407
0.288666222,0.363601485
0.290416687,0.364085016
0.290621014,0.364902358
0.292871806,0.365008975
0.294888387,0.366348952
0.295703772,0.366620052
0.296777602,0.367539669
0.297732103,0.36895234
0.298890334,0.369998423
0.299027799,0.370013241
0.29920931,0.370015073
0.299426105,0.370276394
0.299452803,0.370596095
0.302464681,0.371641409
0.303098133,0.372807145
0.304212107,0.372908977
0.304217653,0.374126731
0.305058946,0.374927715
0.306139053,0.375527916
0.306888195,0.377838219
0.308637997,0.380190188
0.309170036,0.380464238
0.309690063,0.381672535
0.309737782,0.381819715
0.311541133,0.383318812
0.311769982,0.387032998
0.312191677,0.390309208
0.313411544,0.390896788
0.314803338,0.391558901
0.315020602,0.392669028
0.3151633,0.393724251
0.315414831,0.394706803
0.31572995,0.395194765
0.31683444,0.396549895
0.316866096,0.398103482
0.316924036,0.398309561
0.318766314,0.398412846
0.319293613,0.399063329
0.320132737,0.40054453
0.321985199,0.400804551
0.325271361,0.401534343
0.32838482,0.402395039
0.329789433,0.403849876
0.33111077,0.403940429
0.332785906,0.405144624
0.334832662,0.405752128
0.335634728,0.408079156
0.337599411,0.408170524
0.337804724,0.409256901
0.339689117,0.409528041
0.340881477,0.411030816
0.341553698,0.411116493
0.341918335,0.412186507
0.343040424,0.417200185
0.345557908,0.419594667
0.346151937,0.421993081
0.347300605,0.422040598
0.354014564,0.422218128
0.355871861,0.422403064
0.355929228,0.42365202
0.356629285,0.42415867
0.356702192,0.427104753
0.357299325,0.427241488
0.358436772,0.430324926
0.360317473,0.432357958
0.362568013,0.433741765
0.363166861,0.43516383
0.363660154,0.435371345
0.364074012,0.436535872
0.367321675,0.436540451
0.369834007,0.437833485
0.371512214,0.437927375
0.372906839,0.439011113
0.374614037,0.441381213
0.375452888,0.444601566
0.38040801,0.445051241
0.38070877,0.445138748
0.381238343,0.445507817
0.38280103,0.445763058
0.383586965,0.445845119
0.384195845,0.446748012
0.384759168,0.447077253
0.384896405,0.447560542
0.384913259,0.447833727
0.385550382,0.4489543
0.385734381,0.449122047
0.385916883,0.450002236
0.386238366,0.452926539
0.387497857,0.454530768
0.388034673,0.456154426
0.388404037,0.457671763
0.389018228,0.458605726
0.389325703,0.459291714
0.389659017,0.461441807
0.390599948,0.461650403
0.391556542,0.463639598
0.394406236,0.467943328
0.395065616,0.471427467
0.395446648,0.472993732
0.395865568,0.473676037
0.396581578,0.475017974
0.397790168,0.475629739
0.398115157,0.479397311
0.398455645,0.479407123
0.398682993,0.48127501
0.39905343,0.482339482
0.399108534,0.482612506
0.404747641,0.482613168
0.405816254,0.483197139
0.406165057,0.483650454
0.407765479,0.483676923
0.41085896,0.484465905
0.411079289,0.484901119
0.411614873,0.485767145
0.412611763,0.488207186
0.413057873,0.492125249
0.41395475,0.492182157
0.414853122,0.492392703
0.415259948,0.49257877
0.416007309,0.492891574
0.416338996,0.493852402
0.416764248,0.493931205
0.420107153,0.494152466
0.420541421,0.496238802
0.420672192,0.497576438
0.420735273,0.497994569
0.421700439,0.498337818
0.422226881,0.500328637
0.427052803,0.503923849
0.428710794,0.504610897
0.432011732,0.507482865
0.432263656,0.508828442
0.433344381,0.509317149
0.434699776,0.510249986
0.436201683,0.516824391
0.438499989,0.517732693
0.438893434,0.519512161
0.439078741,0.524644255
0.440025873,0.52607291
0.440545455,0.526411975
0.44070186,0.526890873
0.4421742,0.527537953
0.44666399,0.528733831
0.447609373,0.529289447
0.448254756,0.529321112
0.45056329,0.529603515
0.451756726,0.533572752
0.452922185,0.535473289
0.453820733,0.539768311
0.454843906,0.540119838
0.455087466,0.542959518
0.455354967,0.545773507
0.456565068,0.547320268
0.457011696,0.547687823
0.458683899,0.549309437
0.459071426,0.549454926
0.459767806,0.549696171
0.462116284,0.550028191
0.463132385,0.550893102
0.463912691,0.550907776
0.466785687,0.55132678
0.467881694,0.553075806
0.468573272,0.5553894
0.468640507,0.555844405
0.469839743,0.557765619
0.470094289,0.558208755
0.471682584,0.559752142
0.473993978,0.561886462
0.475660085,0.562135401
0.476132242,0.564251821
0.478376309,0.564572792
0.481901737,0.565238017
0.487570759,0.568877009
0.488583712,0.57486098
0.489065143,0.575065428
0.49109509,0.575285431
0.492378744,0.577001336
0.492653384,0.57902442
0.492746773,0.581614734
0.49439155,0.583211426
0.495289991,0.58623882
0.503934111,0.586682745
0.504685313,0.588430908
0.505188527,0.589023067
0.512076065,0.589772505
0.515166359,0.592044454
0.517779607,0.59206536
0.518575759,0.592296076
0.519811834,0.592553601
0.521252976,0.5927744
0.526662639,0.592963342
0.526889849,0.59362427
0.534838824,0.594271212
0.536915504,0.594558202
0.537417592,0.59870746
0.538104364,0.599965017
0.541423835,0.600564228
0.548696288,0.608061958
0.551098717,0.608745382
0.556210744,0.609602909
0.557693855,0.610976327
0.55852655,0.611366892
0.562245791,0.613393373
0.56224656,0.614185074
0.563059039,0.617585312
0.564390313,0.618100833
0.564891453,0.61902587
0.570226252,0.624037288
0.571732215,0.627801095
0.578797548,0.629344442
0.580051007,0.631541099
0.580292333,0.633465177
0.58358228,0.636201234
0.586272283,0.637359623
0.590669956,0.638484791
0.592980986,0.638786807
0.593204892,0.639932986
0.596975312,0.642844012
0.600976586,0.643605095
0.606765167,0.646876432
0.609004943,0.647423136
0.612288011,0.647488445
0.617075467,0.64766043
0.621818576,0.648832864
0.623084323,0.654596481
0.627983888,0.658222944
0.632769916,0.659515056
0.634402486,0.665003921
0.639733186,0.675511117
0.642190649,0.67725766
0.644430391,0.681690448
0.657436459,0.685943374
0.658326927,0.686688212
0.667157864,0.696765012
0.671096013,0.699035539
0.682140258,0.700988952
0.70869068,0.701402407
0.712059546,0.707403953
0.714542296,0.714657614
0.724167795,0.722135613
0.730316604,0.723312414
0.735137394,0.724999063
0.740347097,0.725705301
0.741808643,0.729425905
0.743375453,0.733067632
0.752915131,0.736113315
0.76459472,0.738312752
0.765138779,0.752520862
0.776391323,0.753153889
0.783057574,0.755626665
0.784381931,0.755904485
0.78958597,0.76075809
0.789659092,0.761121751
0.791855621,0.764579113
0.7956643,0.778578357
0.807379812,0.778586405
0.814338069,0.78928644
0.814650425,0.793250288
0.828274691,0.797155006
0.830990421,0.799439464
0.853864469,0.810418582
0.878421305,0.810443228
0.883383508,0.82678739
0.887945206,0.857269452
0.896241619,0.883817819
0.918497196,0.885990736
